"Global","Biodiversity","Global Land Cover","2005-06","Its 22 land cover classes are defined with the UN Land Cover Classification System (LCCS).","© ESA / ESA Globcover Project, led by MEDIAS-France/Postel","English","P:\PROJECTS\2700s\2752 West African Protected Areas\Project Files\3 Components\4 Knowledge Management\Activity 4.3(a)&(b) - Website & Data Portal\Data P:\PROJECTS\2700s\2752 West African Protected Areas\Project Files\3 Components\4 Knowledge Management\Ac","Globcover","PDF",,
"Global","Biodiversity","Biodiversity Hotspots",2005,"The biodiversity hotspots are regions known to hold especially high numbers of species found nowhere else, yet their remaining habitat combined covers a little more than two percent of Earth's land surface.","Conservation Synthesis, Center for Applied Biodiversity Science at Conservation International.","English","P:\PROJECTS\2700s\2752 West African Protected Areas\Project Files\3 Components\4 Knowledge Management\Activity 4.3(a)&(b) - Website & Data Portal\Data P:\PROJECTS\2700s\2752 West African Protected Areas\Project Files\3 Components\4 Knowledge Management\Ac","Biodiversity Hotspots","PDF","Map","http://www.conservation.org/explore/priority_areas/hotspots/Pages/hotspots_main.aspx"
"Global","Biodiversity","Global 200 Ecoregions",2002,"WWF's Global 200 is a first attempt to identify a set of ecoregions whose conservation would achieve the goal of saving a broad diversity of the Earth's ecosystems. These ecoregions include those with exceptional levels of biodiversity, such as high species richness or endemism, or those with unusual ecological or evolutionary phenomena.","Olson, D. M. and E. Dinerstein (2002) The Global 200: Priority ecoregions for global conservation. Annals of the Missouri Botanical Garden 89:125-126.","English","P:\PROJECTS\2700s\2752 West African Protected Areas\Project Files\3 Components\4 Knowledge Management\Activity 4.3(a)&(b) - Website & Data Portal\Data P:\PROJECTS\2700s\2752 West African Protected Areas\Project Files\3 Components\4 Knowledge Management\Ac","Global200","PDF","Map","http://www.worldwildlife.org/science/ecoregions/global200.html"
"Global","Biodiversity","Important Bird Areas",,"Important Bird Areas (IBAs) are a particularly effective way of identifying conservation priorities. A site is recognised as an IBA only if it meets certain criteria, based on the occurrence of key bird species that are vulnerable to global extinction or whose populations are otherwise irreplaceable.","BirdLife International","English",,,,"Data search","http://www.birdlife.org/datazone/site/search"
"Global","Biodiversity","Last of the Wild",2005,"The Last of the Wild represent the 10% wildest areas in each biome.","Last of the Wild Data Version 2, 2005 (LWP-2): Global Last of the Wild (LTW). Wildlife Conservation (WCS) and Center for International Earth Science Information Network (CIESIN).","English",,,,"SHP","http://sedac.ciesin.columbia.edu/wildareas/downloads.jsp#last"
"Chad","Climate","UNDP Climate Change Profile for Chad",2008,"Address the climate change information gap in many developing countries by making use of existing climate data to generate country‐level data plots from the most up‐to‐date climate observations.","McSweeney, C., New, N. and Lizcano, G. (2008) ""UNDP Climate Change Profiles"", School of Geography and Environment, University of Oxford and Tyndall Centre for Climate Change Research. Downloaded from http://country-profiles.geog.ox.ac.uk/","English","P:\PROJECTS\2700s\2752 West African Protected Areas\Project Files\3 Components\4 Knowledge Management\Activity 4.3(a)&(b) - Website & Data Portal\Data P:\PROJECTS\2700s\2752 West African Protected Areas\Project Files\3 Components\4 Knowledge Management\Ac","Chad Climate Change Profile","PDF","Doc","http://country-profiles.geog.ox.ac.uk/"
"The Gambia","Climate","UNDP Climate Change Profile for the Gambia",2008,"Address the climate change information gap in many developing countries by making use of existing climate data to generate country‐level data plots from the most up‐to‐date climate observations.","McSweeney, C., New, N. and Lizcano, G. (2008) ""UNDP Climate Change Profiles"", School of Geography and Environment, University of Oxford and Tyndall Centre for Climate Change Research. Downloaded from http://country-profiles.geog.ox.ac.uk/","English","P:\PROJECTS\2700s\2752 West African Protected Areas\Project Files\3 Components\4 Knowledge Management\Activity 4.3(a)&(b) - Website & Data Portal\Data P:\PROJECTS\2700s\2752 West African Protected Areas\Project Files\3 Components\4 Knowledge Management\Ac","Gambia Climate Change Profile","PDF","Doc","http://country-profiles.geog.ox.ac.uk/"
"Mali","Climate","UNDP Climate Change Profile for Mali",2008,"Address the climate change information gap in many developing countries by making use of existing climate data to generate country‐level data plots from the most up‐to‐date climate observations.","McSweeney, C., New, N. and Lizcano, G. (2008) ""UNDP Climate Change Profiles"", School of Geography and Environment, University of Oxford and Tyndall Centre for Climate Change Research. Downloaded from http://country-profiles.geog.ox.ac.uk/","English","P:\PROJECTS\2700s\2752 West African Protected Areas\Project Files\3 Components\4 Knowledge Management\Activity 4.3(a)&(b) - Website & Data Portal\Data P:\PROJECTS\2700s\2752 West African Protected Areas\Project Files\3 Components\4 Knowledge Management\Ac","Mali Climate Change Profile","PDF","Doc","http://country-profiles.geog.ox.ac.uk/"
"Sierra Leone ","Climate","UNDP Climate Change Profile for Sierra Leone",2008,"Address the climate change information gap in many developing countries by making use of existing climate data to generate country‐level data plots from the most up‐to‐date climate observations.","McSweeney, C., New, N. and Lizcano, G. (2008) ""UNDP Climate Change Profiles"", School of Geography and Environment, University of Oxford and Tyndall Centre for Climate Change Research. Downloaded from http://country-profiles.geog.ox.ac.uk/","English","P:\PROJECTS\2700s\2752 West African Protected Areas\Project Files\3 Components\4 Knowledge Management\Activity 4.3(a)&(b) - Website & Data Portal\Data P:\PROJECTS\2700s\2752 West African Protected Areas\Project Files\3 Components\4 Knowledge Management\Ac","Sierra Leone Climate Change Profile","PDF","Doc","http://country-profiles.geog.ox.ac.uk/"
"Togo","Climate","UNDP Climate Change Profile for Togo",2008,"Address the climate change information gap in many developing countries by making use of existing climate data to generate country‐level data plots from the most up‐to‐date climate observations.","McSweeney, C., New, N. and Lizcano, G. (2008) ""UNDP Climate Change Profiles"", School of Geography and Environment, University of Oxford and Tyndall Centre for Climate Change Research. Downloaded from http://country-profiles.geog.ox.ac.uk/","English","P:\PROJECTS\2700s\2752 West African Protected Areas\Project Files\3 Components\4 Knowledge Management\Activity 4.3(a)&(b) - Website & Data Portal\Data P:\PROJECTS\2700s\2752 West African Protected Areas\Project Files\3 Components\4 Knowledge Management\Ac","Togo Climate Change Profile","PDF","Doc","http://country-profiles.geog.ox.ac.uk/"
"Other","Climate","UNDP Climate Change Profiles",2008,"Address the climate change information gap in many developing countries by making use of existing climate data to generate country‐level data plots from the most up‐to‐date climate observations.","McSweeney, C., New, N. and Lizcano, G. (2008) ""UNDP Climate Change Profiles"", School of Geography and Environment, University of Oxford and Tyndall Centre for Climate Change Research.","English",,,,"Docs","http://country-profiles.geog.ox.ac.uk/"
"Global","Human Population","Human Footprint",2005,"The Human Footprint Index expresses, as a percentage, the relative human Influence in every biome on the land's surface","Last of the Wild Data Version 2, 2005 (LWP-2): Global Human Footprint data set (HF). Wildlife Conservation (WCS) and Center for International Earth Science Information Network (CIESIN).","English",,,,"ArcInfo Grids","http://sedac.ciesin.columbia.edu/wildareas/downloads.jsp"
